Product ID,Order ID,Order Date,Product name,Order Priority,Order Quantity,Unit Price,Discount,Shipping Price,Total,Total After Discount,Box Size,Shipping Cost,Box Cost,Delivery Date,Product Category,Product Base Margin %,Customer Id,Customer Name,Region,Customer Segment,Revenue,Source,YearMonth
PFS127075,200933,2017-11-14,Waze Mood Happy Window Decal,Medium,7,19.75,0.04,5.25,138.23,132.7,Small Box,3.68,0.56,2017-11-20,Accessories,62.06,100922014,Carl Ludwig,Nunavut,Consumer,78.12,Facebook Ads,2017-11
PFS127076,200934,2017-11-16,Waze Mood Original Window Decal,Medium,8,19.88,0.02,6.75,159.02,155.84,Wrap Bag,4.73,0.34,2017-11-22,Stickers,61.16,100922015,Don Miller,Nunavut,Consumer,90.25,TikTok Ads,2017-11
PFS127077,200935,2017-04-20,YouTube Men's Short Sleeve Hero Tee White,Very Low,5,20.48,0.03,2.33,102.38,99.3,Small Box,1.63,0.56,2017-04-30,Men's-T-Shirts,84.12,100922016,Annie Cyprus,Nunavut,Consumer,81.34,Other,2017-04
PFS127080,200936,2017-01-31,Android Women's Short Sleeve Badge Tee Dark Heather,Very Low,2,20.48,0.07,2.0,40.95,38.08,Jumbo Box,1.4,2.96,2017-02-10,Women's-T-Shirts,62.06,100922017,Grant Carroll,Nunavut,Consumer,19.27,Facebook Ads,2017-01
PFS127082,200937,2017-10-18,Google Women's Scoop Neck Tee Black,Critical,3,20.79,0.04,9.0,62.36,59.87,Large Box,6.3,1.48,2017-10-20,Women's-T-Shirts,73.32,100922018,Alan Barnes,Nunavut,Consumer,36.11,Facebook Ads,2017-10
PFS127088,200938,2017-12-25,Google Men's Short Sleeve Performance Badge Tee Pewter,High,9,20.79,0.25,6.0,187.08,140.31,Small Box,4.2,0.56,2017-12-28,Men's-Performance Wear,80.0,100922019,Jack Garza,Nunavut,Consumer,107.49,Referral,2017-12
PFS127094,200939,2017-02-17,YouTube Women's Fleece Hoodie Black,Medium,11,20.79,0.06,5.25,228.66,214.94,Small Box,3.68,0.56,2017-02-23,Women's-T-Shirts,87.0,100922020,Julia West,Nunavut,Small Business,182.76,Google Organic,2017-02
PFS127100,200940,2017-06-19,Google Men's Short Sleeve Hero Tee Charcoal,Low,19,20.79,0.01,3.5,394.95,391.0,Small Box,2.45,0.56,2017-06-27,Men's-Performance Wear,72.68,100922021,Eugene Barchas,Nunavut,Consumer,281.17,Facebook Ads,2017-06
PFS127101,200941,2017-04-23,Google Toddler Short Sleeve Tee Red,Low,32,21.94,0.1,3.5,702.21,631.99,Wrap Bag,2.45,0.34,2017-05-01,Kid's-Toddler,69.66,100922022,Edward Hooks,Nunavut,Small Business,437.45,TikTok Ads,2017-04
PFS127102,200942,2017-04-29,Google Vintage Henley Grey/Black,Same Day,11,21.94,0.05,11.25,241.38,229.31,Small Box,7.88,0.56,2017-04-30,Men's-T-Shirts,68.68,100922023,Brad Eason,Nunavut,Home Office,149.06,Google Organic,2017-04
PFS127104,200943,2017-08-28,Android Men's  Zip Hoodie,Low,8,22.09,0.1,3.5,176.7,159.03,Small Pack,2.45,0.38,2017-09-05,Android,68.26,100922024,Nicole Hansen,Nunavut,Consumer,105.73,TikTok Ads,2017-08
PFS127106,200944,2017-01-14,Google Women's Vintage Hero Tee Platinum,Medium,7,22.75,0.05,2.25,159.25,151.29,Wrap Bag,1.58,0.34,2017-01-20,Women's-T-Shirts,84.12,100922025,Dorothy Wardle,Nunavut,Consumer,125.35,TikTok Ads,2017-01
PFS127109,200945,2017-03-02,Google Snapback Navy Cap,High,4,35.08,0.09,9.0,140.32,127.69,Wrap Bag,6.3,0.34,2017-03-05,Headgear,76.08,100922026,Aaron Bergman,Nunavut,Consumer,90.51,Referral,2017-03
PFS127111,200946,2017-07-10,Google Women's Lightweight Microfleece Jacket,Critical,5,35.1,0.06,12.0,175.5,164.97,Jumbo Drum,8.4,5.42,2017-07-12,Women's-Outerwear,92.16,100922027,Don Jones,Nunavut,Consumer,138.22,Google Organic,2017-07
PFS127112,200947,2017-04-01,Google Women's Yoga Jacket Black,Very Low,1,37.03,0.01,2.33,37.03,36.66,Small Box,1.63,0.56,2017-04-11,Women's-Outerwear,84.12,100922028,Beth Thompson,Nunavut,Consumer,28.64,Facebook Ads,2017-04
PFS127113,200948,2017-09-29,Google Women's Short Sleeve Hero Tee Sky Blue,Same Day,2,37.03,0.04,9.0,74.06,71.1,Wrap Bag,6.3,0.34,2017-09-30,Women's-Outerwear,87.0,100922029,Frank Price,Nunavut,Consumer,55.22,Facebook Ads,2017-09
PFS127116,200949,2017-07-16,Google Men's Softshell Jacket Black/Grey,Low,3,38.61,0.08,3.5,115.83,106.56,Small Pack,2.45,0.38,2017-07-24,Men's-T-Shirts,74.44,100922030,Michelle Lonsdale,Nunavut,Home Office,76.5,Google Ads,2017-07
PFS127049,200950,2017-01-25,YouTube Custom Decals,Medium,6,0.53,0.01,3.0,3.2,3.17,Small Box,2.1,0.56,2017-01-31,Office,94.79,100922031,Ann Chong,Nunavut,Corporate,0.34,Other,2017-01
PFS127036,200951,2017-10-24,Maze Pen,High,14,1.03,0.06,6.0,14.38,13.52,Small Box,4.2,0.56,2017-10-27,Office,76.08,100922032,Joy Bell,Nunavut,Corporate,5.52,Other,2017-10
PFS127071,200952,2017-11-28,Keyboard DOT Sticker,Critical,17,1.78,0.03,10.5,30.28,29.37,Wrap Bag,7.35,0.34,2017-11-30,Office,68.5,100922033,Skye Norling,Nunavut,Consumer,12.43,TikTok Ads,2017-11
PFS127021,200953,2017-06-28,8 pc Android Sticker Sheet,Very Low,19,2.22,0.01,2.33,42.24,41.81,Small Pack,1.63,0.38,2017-07-08,Office,66.0,100922034,Barry Weirich,Nunavut,Consumer,25.59,Google Organic,2017-06
PFS127023,200954,2017-10-10,Switch Tone Color Crayon Pen,Same Day,18,2.52,0.08,9.0,45.4,41.76,Jumbo Drum,6.3,5.42,2017-10-11,Office,74.44,100922035,Adrian Hane,Nunavut,Home Office,19.37,Google Organic,2017-10
PFS127031,200955,2017-11-25,Ballpoint LED Light Pen,Medium,22,2.89,0.07,4.5,63.49,59.05,Small Box,3.15,0.56,2017-12-01,Office,62.06,100922036,Andrew Gjertsen,Nunavut,Small Business,32.93,Other,2017-11
PFS127032,200956,2017-02-22,Android Small Removable Sticker Sheet,Medium,11,3.12,0.0,3.75,34.32,34.32,Jumbo Drum,2.63,5.42,2017-02-28,Accessories,61.16,100922037,Ralph Knight,Nunavut,Consumer,12.95,TikTok Ads,2017-02
PFS127035,200957,2017-09-09,Google Doodle Decal,Medium,9,3.12,0.09,5.25,28.08,25.55,Small Box,3.68,0.56,2017-09-15,Office,38.04,100922038,Beth Paige,Nunavut,Consumer,5.48,Other,2017-09
PFS127033,200958,2017-07-19,Android Large Removable Sticker Sheet,Very Low,2,3.17,0.1,1.67,6.34,5.71,Jumbo Drum,1.17,5.42,2017-07-29,Accessories,60.86,100922039,Bryan Davis,Northwest Territories,Small Business,-3.11,Facebook Ads,2017-07
PFS127024,200959,2017-03-29,Google 22 oz Water Bottle,Very Low,1,3.41,0.09,2.33,3.41,3.1,Small Box,1.63,0.56,2017-04-08,Drinkware,72.68,100922040,Delfina Latchford,Northwest Territories,Consumer,0.06,Google Organic,2017-03
PFS127016,200960,2017-06-21,Google Laptop and Cell Phone Stickers,Critical,1,3.6,0.06,7.5,3.6,3.38,Small Box,5.25,0.56,2017-06-23,Office,34.34,100922041,Doug Bickford,Northwest Territories,Corporate,-4.65,Instagram Ads,2017-06
PFS127022,200961,2017-11-05,Four Color Retractable Pen,High,1,3.77,0.0,9.0,3.77,3.77,Small Box,6.3,0.56,2017-11-08,Office,84.12,100922042,Jamie Kunitz,Northwest Territories,Home Office,-3.69,Facebook Ads,2017-11
PFS127030,200962,2017-05-20,Waze Baby on Board Window Decal,Medium,2,3.89,0.0,3.0,7.77,7.77,Small Box,2.1,0.56,2017-05-26,Waze,62.44,100922043,Anthony Johnson,Northwest Territories,Consumer,2.19,Google Organic,2017-05
PFS127067,200963,2017-06-30,Google Sunglasses,Low,5,4.11,0.01,1.5,20.54,20.33,Large Box,1.05,1.48,2017-07-08,Lifestyle,84.12,100922044,Brendan Dodson,Northwest Territories,Consumer,14.58,Other,2017-06
PFS127012,200964,2017-08-04,Google Women's Short Sleeve Badge Tee Grey,Low,5,5.16,0.06,3.0,25.81,24.26,Small Box,2.1,0.56,2017-08-12,Apparel,36.66,100922045,Hunter Glantz,Northwest Territories,Consumer,6.23,TikTok Ads,2017-08
PFS127029,200965,2017-06-04,Windup Android,Same Day,4,5.16,0.04,18.0,20.64,19.82,Small Box,12.6,0.56,2017-06-05,Lifestyle,62.28,100922046,Thomas Seio,Northwest Territories,Consumer,-0.82,Facebook Ads,2017-06
PFS127062,200966,2017-10-07,Google Women's Short Sleeve Badge Tee Navy,Low,8,5.16,0.03,3.5,41.29,40.05,Small Box,2.45,0.56,2017-10-15,Apparel,57.14,100922047,Becky Castell,Northwest Territories,Home Office,19.87,TikTok Ads,2017-10
PFS127107,200967,2017-04-07,Google Women's Scoop Neck Tee White,Medium,9,5.2,0.07,6.75,46.8,43.52,Small Box,4.73,0.56,2017-04-13,Apparel,80.0,100922048,Cari Schnelling,Northwest Territories,Small Business,29.53,Google Organic,2017-04
PFS127128,200968,2017-06-01,YouTube Men's Long & Lean Tee Charcoal,High,8,15.2,0.01,7.0,121.6,120.38,Small Box,4.9,0.56,2017-06-04,Men's-Performance Wear,78.0,100922049,Chad Cunningham,Northwest Territories,Consumer,88.44,Referral,2017-06
PFS127034,200969,2017-11-02,Emoji Sticker Sheet,Critical,5,25.21,0.1,9.0,126.07,113.46,Small Pack,6.3,0.38,2017-11-04,Accessories,55.32,100922050,Bryan Mills,Northwest Territories,Consumer,56.09,Google Ads,2017-11
PFS127061,200970,2017-05-10,Google Device Stand,Very Low,21,5.24,0.1,2.0,110.02,99.02,Wrap Bag,1.4,0.34,2017-05-20,Nest,57.62,100922051,Rick Reed,Northwest Territories,Consumer,55.32,Google Organic,2017-05
PFS127043,200971,2017-03-10,Google Women's Short Sleeve Hero Tee Grey,Same Day,8,5.3,0.01,13.5,42.43,42.01,Wrap Bag,9.45,0.34,2017-03-11,Apparel,73.32,100922052,Heather Kirkland,Northwest Territories,Consumer,21.01,Referral,2017-03
PFS127064,200972,2017-01-22,Android Men's Vintage Tank,Low,5,5.46,0.05,3.5,27.3,25.94,Small Box,2.45,0.56,2017-01-30,Apparel,55.0,100922053,Fred Wasserman,Northwest Territories,Consumer,11.25,Facebook Ads,2017-01
PFS127059,200973,2017-10-01,Sport Bag,Medium,9,75.5,0.09,5.25,679.49,618.34,Medium Box,3.68,1.18,2017-10-07,Bags,62.86,100922054,Jack Lebron,Northwest Territories,Consumer,383.83,Other,2017-10
PFS127103,200974,2017-03-15,YouTube Men's Vintage Tank,High,11,45.8,0.0,7.0,503.78,503.78,Small Box,4.9,0.56,2017-03-18,Apparel,68.5,100922055,Mike Pelletier,Northwest Territories,Consumer,339.63,Facebook Ads,2017-03
PFS127066,200975,2017-01-04,Google Men's Short Sleeve Badge Tee Charcoal,Critical,4,5.9,0.1,7.5,23.61,21.25,Small Box,5.25,0.56,2017-01-06,Apparel,30.58,100922056,Charles McCrossin,Northwest Territories,Consumer,0.68,Facebook Ads,2017-01
PFS127070,200976,2017-04-11,YouTube Women's Short Sleeve Tri-blend Badge Tee Charcoal,Very Low,3,35.9,0.01,2.33,107.71,106.63,Medium Box,1.63,1.18,2017-04-21,Apparel,68.68,100922057,Charlotte Melton,Northwest Territories,Consumer,70.42,Google Organic,2017-04
PFS127037,200977,2017-03-11,Google Women's Tee Grey,Same Day,2,26.71,0.08,6.75,53.42,49.14,Wrap Bag,4.73,0.34,2017-03-12,Apparel,74.44,100922058,Henry Goldwyn,Northwest Territories,Small Business,31.52,Other,2017-03
PFS127063,200978,2017-03-12,Google Men's Vintage Tank,Medium,7,36.83,0.07,6.75,257.78,239.73,Small Box,4.73,0.56,2017-03-18,Apparel,42.06,100922059,Roy Skaria,Northwest Territories,Consumer,95.54,Facebook Ads,2017-03
PFS127040,200979,2017-06-19,Google Stylus Pen w/ LED Light,Medium,1,46.93,0.07,6.0,46.93,43.64,Medium Box,4.2,1.18,2017-06-25,Office,67.28,100922060,Jeremy Lonsdale,Northwest Territories,Small Business,23.99,TikTok Ads,2017-06
PFS127053,200980,2017-11-01,Google Metallic Notebook Set,Medium,11,56.93,0.04,5.25,626.22,601.17,Small Box,3.68,0.56,2017-11-07,Office,30.58,100922061,Cindy Schnelling,Northwest Territories,Home Office,179.6,Instagram Ads,2017-11
PFS127105,200981,2017-04-25,Google Women's Short Sleeve Performance Tee Pewter,Very Low,22,37.15,0.04,1.33,817.3,784.61,Small Box,0.93,0.56,2017-05-05,Apparel,67.28,100922062,Susan Vittorini,Northwest Territories,Consumer,526.39,Facebook Ads,2017-04
PFS127095,200982,2017-11-11,Waze Mobile Phone Vent Mount,Very Low,12,27.72,0.04,2.33,332.66,319.36,Small Pack,1.63,0.38,2017-11-21,Waze,84.12,100922063,Toby Braunhardt,Northwest Territories,Consumer,266.64,Other,2017-11
PFS127086,200983,2017-05-31,YouTube Men's Vintage Henley,Critical,8,18.63,0.07,6.0,149.06,138.62,Small Box,4.2,0.56,2017-06-02,Apparel,68.5,100922064,Ralph Arnett,Northwest Territories,Consumer,90.19,Facebook Ads,2017-05
PFS127013,200984,2017-08-18,Waze Dress Socks,High,7,21.1,0.01,6.0,147.71,146.24,Wrap Bag,4.2,0.34,2017-08-21,Waze,36.66,100922065,Harold Engle,Atlantic,Consumer,49.07,Other,2017-08
PFS127044,200985,2017-06-14,Google Twill Cap,Medium,3,22.12,0.04,5.25,66.35,63.7,Small Box,3.68,0.56,2017-06-20,Apparel,72.68,100922066,Roy French,Atlantic,Consumer,42.06,Referral,2017-06
PFS127054,200986,2017-08-23,Android Rise 14 oz Mug,Low,2,23.7,0.08,3.5,47.4,43.61,Small Box,2.45,0.56,2017-08-31,Drinkware,76.08,100922067,Helen Abelman,Atlantic,Consumer,30.17,TikTok Ads,2017-08
PFS127048,200987,2017-06-15,Google Women's Short Sleeve Performance Tee Charcoal,Low,8,44.3,0.05,2.0,354.4,336.68,Small Pack,1.4,0.38,2017-06-23,Apparel,89.04,100922068,Guy Armstrong,Atlantic,Home Office,298.0,Facebook Ads,2017-06
PFS127020,200988,2017-01-09,Google Women's Short Sleeve Hero Tee White,Same Day,11,15.6,0.0,13.5,171.6,171.6,Jumbo Box,9.45,2.96,2017-01-10,Women's-T-Shirts,74.0,100922069,Jennifer Braxton,Atlantic,Corporate,114.57,Facebook Ads,2017-01
PFS127089,200989,2017-08-14,Google Women's Fleece Hoodie,Low,12,15.77,0.09,2.5,189.23,172.2,Small Box,1.75,0.56,2017-08-22,Apparel,84.12,100922070,Giulietta Baptist,Atlantic,Corporate,142.54,Facebook Ads,2017-08
PFS127081,200990,2017-10-19,Google Women's Performance Golf Polo Blue,Medium,15,16.34,0.04,5.25,245.12,235.31,Large Box,3.68,1.48,2017-10-25,Apparel,61.16,100922071,Erica Bern,Atlantic,Consumer,138.76,Facebook Ads,2017-10
PFS127072,200991,2017-10-24,Google Large Standard Journal Navy,High,8,16.65,0.02,5.0,133.22,130.56,Small Box,3.5,0.56,2017-10-27,Office,68.26,100922072,Christopher Schild,Atlantic,Consumer,85.06,Instagram Ads,2017-10
PFS127087,200992,2017-01-13,Google Infant Short Sleeve Tee White,Critical,9,32.67,0.05,10.5,294.0,279.3,Medium Box,7.35,1.18,2017-01-15,Apparel,84.12,100922073,Joy Smith,Atlantic,Home Office,226.42,Facebook Ads,2017-01
PFS127097,200993,2017-07-30,Google Infant Short Sleeve Tee Red,Very Low,3,19.67,0.03,1.67,59.0,57.23,Jumbo Drum,1.17,5.42,2017-08-09,Apparel,76.08,100922074,Evan Minnotte,Atlantic,Small Business,36.96,Google Organic,2017-07
PFS127119,200994,2017-08-21,Android Infant Short Sleeve Tee Pewter,Same Day,4,41.5,0.04,20.25,166.0,159.36,Small Box,14.18,0.56,2017-08-22,Apparel,72.68,100922075,Jenna Caffey,Atlantic,Consumer,101.09,Facebook Ads,2017-08
PFS127121,200995,2017-03-17,Google Men's 100% Cotton Short Sleeve Hero Tee Red,Low,5,47.5,0.07,2.0,237.5,220.88,Small Box,1.4,0.56,2017-03-25,Apparel,94.0,100922076,Hilary Holden,Atlantic,Consumer,205.66,Other,2017-03
PFS127092,200996,2017-02-28,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Medium,8,18.41,0.1,2.25,147.26,132.54,Large Box,1.58,1.48,2017-03-06,Apparel,92.16,100922077,Greg Guthrie,Atlantic,Small Business,119.09,Facebook Ads,2017-02
PFS127057,200997,2017-03-06,Google Youth Short Sleeve Tee Red,High,2,19.75,0.0,6.0,39.49,39.49,Small Box,4.2,0.56,2017-03-09,Apparel,68.68,100922078,Dan Reichenbach,Atlantic,Consumer,22.36,Instagram Ads,2017-03
PFS127060,200998,2017-07-25,Google Women's Short Sleeve Hero Tee Heather,Critical,7,19.75,0.08,12.0,138.23,127.17,Small Box,8.4,0.56,2017-07-27,Apparel,59.06,100922079,Paul Gonzalez,Atlantic,Corporate,66.14,Facebook Ads,2017-07
PFS127090,200999,2017-10-04,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,Very Low,1,19.88,0.1,2.33,19.88,17.89,Large Box,1.63,1.48,2017-10-14,Apparel,76.08,100922080,Filia McAdams,Atlantic,Home Office,10.5,Facebook Ads,2017-10
PFS127091,201000,2017-08-25,Google Men's Airflow 1/4 Zip Pullover Lapis,Same Day,3,20.48,0.08,20.25,61.43,56.51,Small Box,14.18,0.56,2017-08-26,Apparel,84.12,100922081,Chuck Magee,Atlantic,Consumer,32.8,Other,2017-08
PFS127108,201001,2017-05-04,Google Men's Lightweight Microfleece Jacket Black,Medium,9,20.48,0.07,5.25,184.28,171.38,Wrap Bag,3.68,0.34,2017-05-10,Women's-T-Shirts,84.12,100922082,Frank Atkinson,Atlantic,Consumer,140.15,Instagram Ads,2017-05
PFS127041,201002,2017-11-23,Android BTTF Cosmos Graphic Tee,Medium,12,20.79,0.01,4.5,249.44,246.95,Small Box,3.15,0.56,2017-11-29,Apparel,64.96,100922083,Philip Brown,Atlantic,Consumer,156.71,Facebook Ads,2017-11
PFS127052,201003,2017-07-02,Android BTTF Moonshot Graphic Tee,Medium,5,20.79,0.04,4.5,103.94,99.78,Large Box,3.15,1.48,2017-07-08,Apparel,42.0,100922084,Jim Sink,Atlantic,Consumer,37.28,Google Ads,2017-07
PFS127073,201004,2017-12-24,Android Men's Outerstellar Short Sleeve Tee Black,Very Low,4,20.79,0.04,2.0,83.15,79.82,Jumbo Drum,1.4,5.42,2018-01-03,Apparel,62.44,100922085,Logan Haushalter,Atlantic,Home Office,43.03,Google Ads,2017-12
PFS127098,201005,2017-06-03,Google Snapback Black Cap,Very Low,3,20.79,0.02,2.33,62.36,61.11,Small Box,1.63,0.56,2017-06-13,Headgear,73.32,100922086,Noah Childs,Atlantic,Small Business,42.61,Other,2017-06
PFS127114,201006,2017-04-13,Google Men's Microfiber 1/4 Zip Pullover Blue/Indigo,Critical,2,21.94,0.1,10.5,43.89,39.5,Small Box,7.35,0.56,2017-04-15,Apparel,84.12,100922087,Brian Moss,Prarie,Consumer,25.31,Facebook Ads,2017-04
PFS127120,201007,2017-04-12,Google Men's Quilted Insulated Vest Battleship Grey,High,2,21.94,0.02,7.0,43.89,43.01,Small Box,4.9,0.56,2017-04-15,Apparel,69.66,100922088,Julie Creighton,West,Consumer,24.5,Facebook Ads,2017-04
PFS127046,201008,2017-06-18,Waze Pack of 9 Decal Set,Medium,9,22.09,0.07,3.75,198.78,184.87,Jumbo Box,2.63,2.96,2017-06-24,Accessories,68.68,100922089,Sanjit Chand,West,Consumer,121.38,Google Organic,2017-06
PFS127115,201009,2017-08-28,Google Men's Quilted Insulated Vest Black,Low,1,22.75,0.0,3.5,22.75,22.75,Large Box,2.45,1.48,2017-09-05,Apparel,76.08,100922090,Matt Collins,West,Consumer,13.38,Google Ads,2017-08
PFS127083,201010,2017-03-14,Google Men's Bayside Graphic Tee,Low,4,23.39,0.01,1.5,93.55,92.61,Small Box,1.05,0.56,2017-03-22,Apparel,72.68,100922091,Justin Knight,West,Consumer,65.7,Facebook Ads,2017-03
PFS127068,201011,2017-10-17,Google Men's Performance Polo Grey/Black,Same Day,7,35.1,0.09,20.25,245.7,223.59,Wrap Bag,14.18,0.34,2017-10-18,Apparel,73.32,100922092,Rob Haberlin,West,Consumer,149.42,Other,2017-10
PFS127096,201012,2017-11-15,Waze Men's Short Sleeve Tee,Low,8,37.03,0.06,4.0,296.24,278.47,Small Box,2.8,0.56,2017-11-23,Waze,74.44,100922093,Christina Vanderzanden,West,Consumer,203.93,Instagram Ads,2017-11
PFS127127,201013,2017-10-27,Waze Women's Short Sleeve Tee,Medium,5,37.03,0.01,5.25,185.15,183.3,Jumbo Box,3.68,2.96,2017-11-02,Waze,54.0,100922094,Lena Cacioppo,West,Consumer,92.35,Google Organic,2017-10
PFS127122,201014,2017-11-13,Google Women's Convertible Vest-Jacket Sea Foam Green,High,2,38.61,0.01,4.0,77.22,76.45,Small Box,2.8,0.56,2017-11-16,Apparel,91.0,100922095,Kimberly Carter,West,Consumer,66.2,Instagram Ads,2017-11
PFS127079,201015,2017-10-05,Google Youth Baseball Raglan Heather/Black,Critical,3,38.98,0.09,10.5,116.94,106.42,Wrap Bag,7.35,0.34,2017-10-07,Apparel,62.28,100922096,Gene Hale,West,Small Business,58.59,Facebook Ads,2017-10
PFS127093,201016,2017-11-16,Google Women's Shell Jacket Blue/Black,Very Low,9,41.69,0.09,1.33,375.22,341.45,Wrap Bag,0.93,0.34,2017-11-26,Apparel,84.12,100922097,Sally Knutson,West,Consumer,285.96,Other,2017-11
PFS127019,201017,2017-08-13,Google Women's Long Sleeve Blended Cardigan Charcoal,Same Day,11,42.9,0.0,13.5,471.9,471.9,Small Box,9.45,0.56,2017-08-14,Women's-Outerwear,82.0,100922098,Marina Lichtenstein,West,Small Business,376.95,Facebook Ads,2017-08
PFS127126,201018,2017-08-09,Men's Softshell Jacket Black/Grey,Low,19,46.64,0.05,3.5,886.24,841.92,Small Box,2.45,0.56,2017-08-17,Apparel,69.0,100922099,Michelle Arnett,West,Home Office,577.92,Referral,2017-08
PFS127085,201019,2017-11-11,Google Women's Softshell Jacket Black/Grey,Medium,6,45.1,0.04,5.25,270.6,259.78,Small Box,3.68,0.56,2017-11-17,Apparel,68.68,100922100,Seth Vernon,West,Consumer,174.18,Facebook Ads,2017-11
PFS127117,201020,2017-04-21,Google Men's Performance 1/4 Zip Pullover Heather/Black,High,9,35.75,0.1,4.0,321.75,289.58,Small Box,2.8,0.56,2017-04-24,Apparel,73.32,100922101,Luke Weiss,West,Consumer,208.95,Facebook Ads,2017-04
PFS127099,201021,2017-01-18,"Google High Capacity 10,400mAh Charger",Critical,8,76.69,0.05,9.0,613.5,582.82,Large Box,6.3,1.48,2017-01-20,Nest,73.32,100922102,Christina DeMoss,West,Consumer,419.54,Other,2017-01
PFS127084,201022,2017-03-18,Google Rucksack,Very Low,7,85.24,0.09,1.67,596.69,542.99,Small Box,1.17,0.56,2017-03-28,Women's-T-Shirts,69.66,100922103,Sonia Sunley,West,Consumer,376.51,Other,2017-03
PFS127015,201023,2017-12-05,Nest® Protect Smoke + CO White Battery Alarm-USA,Same Day,4,102.7,0.09,15.75,410.8,373.83,Jumbo Box,11.03,2.96,2017-12-06,Nest,34.83,100922104,Anthony O'Donnell,West,Consumer,116.22,Facebook Ads,2017-12
PFS127017,201024,2017-01-20,Nest® Protect Smoke + CO White Wired Alarm-USA,Medium,5,102.7,0.0,3.75,513.5,513.5,Small Box,2.63,0.56,2017-01-26,Nest,34.25,100922105,Emily Grady,West,Consumer,172.69,Referral,2017-01
PFS127118,201025,2017-03-12,25L Classic Rucksack,Medium,1,103.99,0.0,5.25,103.99,103.99,Small Box,3.68,0.56,2017-03-18,Backpacks,73.32,100922106,Alex Avila,West,Home Office,72.01,Google Organic,2017-03
